,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,spoken_languages,vote_average,vote_count,genres,poster_path,production_companies
0,116977,tt0249516,Foodfight!,65000000,2012-06-15,73706,87.0,en,Foodfight!,"[{'iso_639_1': 'en', 'name': 'English'}]",1.7,76,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/R1zn75Yz4wpdd85byqhP7mT6No.jpg,"[{'id': 4174, 'logo_path': None, 'name': 'Threshold Entertainment', 'origin_country': ''}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 133802, 'logo_path': None, 'name': 'C47 Productions', 'origin_country': ''}, {'id': 133803, 'logo_path': None, 'name': 'Natural Image', 'origin_country': ''}, {'id': 133804, 'logo_path': None, 'name': 'StoryArk Media', 'origin_country': ''}]"
1,308024,tt3844362,The Overnight,0,2015-06-19,1100000,80.0,en,The Overnight,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",6.0,222,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}]",/65L466UR3h1jw8mTJhGmMZlj0eT.jpg,"[{'id': 1974, 'logo_path': None, 'name': 'Duplass Brothers Productions', 'origin_country': 'US'}, {'id': 63631, 'logo_path': None, 'name': ""Gettin' Rad Productions"", 'origin_country': ''}]"
2,308024,tt3844362,The Overnight,0,2015-06-19,1100000,80.0,en,The Overnight,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",6.0,222,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}]",/65L466UR3h1jw8mTJhGmMZlj0eT.jpg,"[{'id': 1974, 'logo_path': None, 'name': 'Duplass Brothers Productions', 'origin_country': 'US'}, {'id': 63631, 'logo_path': None, 'name': ""Gettin' Rad Productions"", 'origin_country': ''}]"
3,83770,tt0337692,On the Road,25000000,2012-05-22,8784318,137.0,en,On the Road,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",5.6,600,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",/k7LQteD02p3VHixbS6NXHkFdFwT.jpg,"[{'id': 8372, 'logo_path': None, 'name': 'SPAD Films', 'origin_country': ''}, {'id': 70, 'logo_path': '/ueaENQkPcy8rlr5fGZVBXKOhlBh.png', 'name': 'American Zoetrope', 'origin_country': 'US'}, {'id': 79077, 'logo_path': None, 'name': 'Jerry Leider Company', 'origin_country': ''}, {'id': 614, 'logo_path': None, 'name': 'Vanguard Films', 'origin_country': ''}, {'id': 83, 'logo_path': '/9OQ0rm55xtlgX7KcAKMUePJSrQc.png', 'name': 'France 2 Cinéma', 'origin_country': 'FR'}, {'id': 10611, 'logo_path': '/zQ4fGaEnNkWfSzyygXRcUZwPmDG.png', 'name': 'Ciné+', 'origin_country': 'FR'}, {'id': 346, 'logo_path': None, 'name': 'Videofilmes', 'origin_country': 'BR'}, {'id': 21914, 'logo_path': '/iF5QYCtPLuwkU90jWdjrul25d71.png', 'name': 'K&S Films', 'origin_country': 'AR'}, {'id': 12467, 'logo_path': None, 'name': 'Nomadic Pictures', 'origin_country': 'CA'}, {'id': 6274, 'logo_path': None, 'name': 'MK2 Productions', 'origin_country': 'FR'}, {'id': 6705, 'logo_path': '/e8EXNSfwr5E9d3TR8dHKbQnQK4W.png', 'name': 'Film4 Productions', 'origin_country': 'GB'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 7131, 'logo_path': '/eLvjHPYZ12GR58lrDgg6MXZp2a3.png', 'name': 'France Télévisions', 'origin_country': 'FR'}]"
4,83770,tt0337692,On the Road,25000000,2012-05-22,8784318,137.0,en,On the Road,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",5.6,600,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",/k7LQteD02p3VHixbS6NXHkFdFwT.jpg,"[{'id': 8372, 'logo_path': None, 'name': 'SPAD Films', 'origin_country': ''}, {'id': 70, 'logo_path': '/ueaENQkPcy8rlr5fGZVBXKOhlBh.png', 'name': 'American Zoetrope', 'origin_country': 'US'}, {'id': 79077, 'logo_path': None, 'name': 'Jerry Leider Company', 'origin_country': ''}, {'id': 614, 'logo_path': None, 'name': 'Vanguard Films', 'origin_country': ''}, {'id': 83, 'logo_path': '/9OQ0rm55xtlgX7KcAKMUePJSrQc.png', 'name': 'France 2 Cinéma', 'origin_country': 'FR'}, {'id': 10611, 'logo_path': '/zQ4fGaEnNkWfSzyygXRcUZwPmDG.png', 'name': 'Ciné+', 'origin_country': 'FR'}, {'id': 346, 'logo_path': None, 'name': 'Videofilmes', 'origin_country': 'BR'}, {'id': 21914, 'logo_path': '/iF5QYCtPLuwkU90jWdjrul25d71.png', 'name': 'K&S Films', 'origin_country': 'AR'}, {'id': 12467, 'logo_path': None, 'name': 'Nomadic Pictures', 'origin_country': 'CA'}, {'id': 6274, 'logo_path': None, 'name': 'MK2 Productions', 'origin_country': 'FR'}, {'id': 6705, 'logo_path': '/e8EXNSfwr5E9d3TR8dHKbQnQK4W.png', 'name': 'Film4 Productions', 'origin_country': 'GB'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 7131, 'logo_path': '/eLvjHPYZ12GR58lrDgg6MXZp2a3.png', 'name': 'France Télévisions', 'origin_country': 'FR'}]"
5,83770,tt0337692,On the Road,25000000,2012-05-22,8784318,137.0,en,On the Road,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",5.6,600,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",/k7LQteD02p3VHixbS6NXHkFdFwT.jpg,"[{'id': 8372, 'logo_path': None, 'name': 'SPAD Films', 'origin_country': ''}, {'id': 70, 'logo_path': '/ueaENQkPcy8rlr5fGZVBXKOhlBh.png', 'name': 'American Zoetrope', 'origin_country': 'US'}, {'id': 79077, 'logo_path': None, 'name': 'Jerry Leider Company', 'origin_country': ''}, {'id': 614, 'logo_path': None, 'name': 'Vanguard Films', 'origin_country': ''}, {'id': 83, 'logo_path': '/9OQ0rm55xtlgX7KcAKMUePJSrQc.png', 'name': 'France 2 Cinéma', 'origin_country': 'FR'}, {'id': 10611, 'logo_path': '/zQ4fGaEnNkWfSzyygXRcUZwPmDG.png', 'name': 'Ciné+', 'origin_country': 'FR'}, {'id': 346, 'logo_path': None, 'name': 'Videofilmes', 'origin_country': 'BR'}, {'id': 21914, 'logo_path': '/iF5QYCtPLuwkU90jWdjrul25d71.png', 'name': 'K&S Films', 'origin_country': 'AR'}, {'id': 12467, 'logo_path': None, 'name': 'Nomadic Pictures', 'origin_country': 'CA'}, {'id': 6274, 'logo_path': None, 'name': 'MK2 Productions', 'origin_country': 'FR'}, {'id': 6705, 'logo_path': '/e8EXNSfwr5E9d3TR8dHKbQnQK4W.png', 'name': 'Film4 Productions', 'origin_country': 'GB'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 7131, 'logo_path': '/eLvjHPYZ12GR58lrDgg6MXZp2a3.png', 'name': 'France Télévisions', 'origin_country': 'FR'}]"
6,116745,tt0359950,The Secret Life of Walter Mitty,90000000,2013-12-18,188133322,114.0,en,The Secret Life of Walter Mitty,"[{'iso_639_1': 'en', 'name': 'English'}]",7.1,5561,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",/tY6ypjKOOtujhxiSwTmvA4OZ5IE.jpg,"[{'id': 290, 'logo_path': '/Q8mw2AOQQc8Qg0uNwLWq86DVZv.png', 'name': 'Ingenious Media', 'origin_country': 'GB'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}, {'id': 9118, 'logo_path': '/9o6KLcDBRw3fNItUflJVwj8dZpC.png', 'name': 'Samuel Goldwyn Films', 'origin_country': 'US'}, {'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 10893, 'logo_path': None, 'name': 'Big Screen Productions', 'origin_country': ''}, {'id': 37336, 'logo_path': None, 'name': 'Down Productions', 'origin_country': ''}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 2932, 'logo_path': '/4uLKLjGivVg2YnAIhAn8k7ZuVFj.png', 'name': 'Red Hour', 'origin_country': 'US'}]"
7,169917,tt0365907,A Walk Among the Tombstones,28000000,2014-09-18,53181600,113.0,en,A Walk Among the Tombstones,"[{'iso_639_1': 'en', 'name': 'English'}]",6.3,1926,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",/bQTHTZezSudf27mMQtedHf1XpgO.jpg,"[{'id': 39043, 'logo_path': None, 'name': 'Traveling Picture Show Company (TPSC)', 'origin_country': ''}, {'id': 216, 'logo_path': None, 'name': 'Jersey Films', 'origin_country': ''}, {'id': 40106, 'logo_path': None, 'name': 'Free State Pictures', 'origin_country': ''}, {'id': 11448, 'logo_path': '/twhX9HMUuGW4Mhb45AyWDhRqkvR.png', 'name': 'Exclusive Media', 'origin_country': 'US'}, {'id': 10246, 'logo_path': '/rREvQNWAxkDfY9CDn2c5YxEMPdP.png', 'name': 'Cross Creek Pictures', 'origin_country': 'US'}, {'id': 8532, 'logo_path': None, 'name': '1984 Private Defense Contractors', 'origin_country': ''}, {'id': 40107, 'logo_path': None, 'name': 'Da Vinci Media Ventures', 'origin_country': ''}, {'id': 215, 'logo_path': '/tQyeqkCj24krhY2W8qeAztcOS37.png', 'name': 'Double Feature Films', 'origin_country': ''}]"
8,135397,tt0369610,Jurassic World,150000000,2015-06-06,1671713208,124.0,en,Jurassic World,"[{'iso_639_1': 'en', 'name': 'English'}]",6.6,15629,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",/2c0ajTi8nvrsYl5Oi1lVi6F0kd2.jpg,"[{'id': 3341, 'logo_path': '/dTG5dXE1kU2mpmL9BNnraffckLU.png', 'name': 'Fuji Television Network', 'origin_country': 'JP'}, {'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 1778, 'logo_path': '/69xm6sF3JxugGVjfZfm1YY6d7EE.png', 'name': 'Dentsu', 'origin_country': 'JP'}, {'id': 862, 'logo_path': '/udTjbqPmcTbfrihMuLtLcizDEM1.png', 'name': 'The Kennedy/Marshall Company', 'origin_country': 'US'}]"
9,23514,tt0376136,The Rum Diary,45000000,2011-10-13,24000000,120.0,en,The Rum Diary,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",5.8,752,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",/8xmzSn5Qd3lX9iqrkoY27wMRE3O.jpg,"[{'id': 816, 'logo_path': None, 'name': 'FilmEngine', 'origin_country': ''}, {'id': 3281, 'logo_path': '/8tMybAieh64uzvm8knSjXOFX8Qc.png', 'name': 'GK Films', 'origin_country': 'GB'}, {'id': 2691, 'logo_path': None, 'name': 'Infinitum Nihil', 'origin_country': 'US'}]"
